"set_name","value"
"Acute Methylation","RNA metabolic process"
"Acute Methylation","cell adhesion"
"Acute Methylation","fatty acid beta-oxidation"
"Acute Methylation","positive regulation of nuclear cell cycle DNA replication"
"Acute Methylation","transmembrane transport"
"Acute Methylation","innate immune response"
"Acute Methylation","regulation of microtubule cytoskeleton organization"
"Acute Methylation","regulation of cell cycle phase transition"
"Acute Methylation","protein phosphorylation"
"Acute Methylation","nucleic acid binding"
"Acute Methylation","scavenger receptor activity"
"Acute Methylation","metal ion binding"
"Primed Methylation","cell communication"
"Primed Methylation","cell-cell adhesion mediator activity"
"Primed Methylation","cilium assembly"
"Primed Methylation","protein dimerization activity"
"Acute Expression","single strand break repair"
"Acute Expression","DNA-binding transcription factor activity"
"Acute Expression","DNA-binding transcription repressor activity, RNA polymerase II-specific"
"Acute Expression","androgen biosynthetic process"
"Acute Expression","calcium ion binding"
"Acute Expression","alpha,alpha-trehalose-phosphate synthase (GDP-forming) activity"
"Acute Expression","D-amino-acid oxidase activity"
"Acute Expression","cholinesterase activity"
"Acute Expression","ATP binding"
"Acute Expression","Glc3Man9GlcNAc2 oligosaccharide glucosidase activity"
"Acute Expression","ornithine decarboxylase activity"
"Acute Expression","alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
"Acute Expression","L-tyrosine:2-oxoglutarate aminotransferase activity"
"Acute Expression","cysteine-type endopeptidase inhibitor activity"
"Acute Expression","cytokine activity"
"Acute Expression","trehalose metabolic process"
"Acute Expression","trehalose biosynthetic process"
"Acute Expression","bioluminescence"
"Acute Expression","RNA processing"
"Acute Expression","L-phenylalanine catabolic process"
"Acute Expression","polyamine biosynthetic process"
"Acute Expression","bile acid and bile salt transport"
"Acute Expression","actin filament organization"
"Acute Expression","protein kinase C-activating G protein-coupled receptor signaling pathway"
"Acute Expression","autophagosome maturation"
"Acute Expression","chitin binding"
"Acute Expression","growth factor activity"
"Acute Expression","diaminopimelate decarboxylase activity"
"Acute Expression","lysine biosynthetic process via diaminopimelate"
"Acute Expression","nucleoside diphosphate catabolic process"
"Acute Expression","oligosaccharide metabolic process"
"Acute Expression","DNA binding"
"Acute Expression","DNA repair"
"Acute Expression","negative regulation of endopeptidase activity"
"Acute Expression","epigenetic regulation of gene expression"
"Acute Expression","myoblast migration involved in skeletal muscle regeneration"
"Acute Expression","autophagosome assembly"
"Acute Expression","L-ascorbic acid transmembrane transporter activity"
"Acute Expression","symporter activity"
"Acute Expression","heme binding"
"Acute Expression","carbon-carbon lyase activity"
"Acute Expression","Wnt-protein binding"
"Acute Expression","positive regulation of translational termination"
"Acute Expression","D-cysteine desulfhydrase activity"
"Acute Expression","cell division"
"Acute Expression","apoptotic process involved in development"
"Acute Expression","carbohydrate binding"
"Acute Expression","camera-type eye development"
"Acute Expression","actin filament binding"
"Acute Expression","cilium assembly"
"Acute Expression","response to retinoic acid"
"Acute Expression","regulation of actin cytoskeleton organization"
"Acute Expression","putrescine biosynthetic process from ornithine"
"Acute Expression","canonical Wnt signaling pathway"
"Acute Expression","retrograde transport, endosome to Golgi"
"Acute Expression","G protein-coupled receptor activity"
"Acute Expression","protein homodimerization activity"
"Acute Expression","amino acid import across plasma membrane"
"Acute Expression","aspartate transmembrane transport"
"Acute Expression","D-amino acid metabolic process"
"Acute Expression","positive regulation of gene expression"
"Acute Expression","protein dimerization activity"
"Acute Expression","blood vessel development"
"Acute Expression","abducens nerve formation"
"Acute Expression","cellular developmental process"
"Acute Expression","autophagy"
"Acute Expression","detection of mechanical stimulus"
"Acute Expression","positive regulation of pathway-restricted SMAD protein phosphorylation"
"Acute Expression","cellular response to desiccation"
"Acute Expression","histone binding"
"Acute Expression","negative regulation of TORC1 signaling"
"Acute Expression","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"Acute Expression","DNA-binding transcription factor activity, RNA polymerase II-specific"
"Acute Expression","xenobiotic detoxification by transmembrane export across the plasma membrane"
"Acute Expression","positive regulation of double-strand break repair"
"Primed Expression","hormone-mediated signaling pathway"
"Primed Expression","protein polyubiquitination"
"Primed Expression","G protein-coupled receptor activity"
"Primed Expression","peptidase inhibitor activity"
"Primed Expression","protein deubiquitination"
"Primed Expression","zinc ion transport"
"Primed Expression","intracellular protein transport"
"Primed Expression","DNA metabolic process"
"Primed Expression","vesicle-mediated transport"
"Primed Expression","carboxylic acid metabolic process"
"Primed Expression","endoplasmic reticulum unfolded protein response"
"Primed Expression","activation of innate immune response"
